service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
3797980347767515401,3823272260526453707,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"219 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.695442,10.772711,Trung Nguyên Legend,South
3797980347767515401,8707681233905713633,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"116 Nguyễn Duy Dương, Phường 9, Quận 5, Thành Phố Hồ Chí Minh, VIỆT NAM",106.671315,10.759179,Trung Nguyên Legend,South
3797980347767515401,7051585804063623702,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"44 Hoa Hồng, Phường 2, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",106.690366,10.796388,Trung Nguyên Legend,South
3797980347767515401,8169379836911425219,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"778 Điện Biên Phủ, Phường 10, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.674598,10.768125,Trung Nguyên Legend,South
3797980347767515401,8039277881758166100,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"349 Hai Bả Trưng, Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.68941,10.789764,Trung Nguyên Legend,South
3797980347767515401,4682719390001155769,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"93 Nguyễn Du, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.69836200000002,10.77695,Trung Nguyên Legend,South
3797980347767515401,4694352515938281013,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"16A/1KP Đông Nhì, Phường Lái Thiêu, Thị xã Thuận An, Bình Dương, VIỆT NAM",106.702217,10.903905,Trung Nguyên Legend,South
3797980347767515401,4569354335626655058,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"47 Ngô Tấn Kế, Phường 2, Quận 6, Thành Phố Hồ Chí Minh, VIỆT NAM",106.679089,10.772897,Trung Nguyên Legend,South
3797980347767515401,1062008815734087291,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"25/88 Nguyễn Bỉnh Khiêm, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.703856,10.788154,Trung Nguyên Legend,South
3797980347767515401,4084284819643988473,beverage,Trung Nguyên Legend,"82-84 Bùi Thị Xuân, P. Bến Thành, Quận 1, Tp Hồ Chí Minh",Trung Nguyên Legend,"940 3/2, Phường 15, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.669925,10.769282,Trung Nguyên Legend,South
